epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,203.279,0.62456,0.65572,1.04234,0.97811,0.85714,0.87779,0.66767,0.95386,1.01378,1.37055,0.0004754,0.0004754,0.0004754
79,205.967,0.56596,0.67444,0.97333,0.98334,0.85714,0.87585,0.64679,0.91183,1.00343,1.33564,0.0004556,0.0004556,0.0004556
80,208.618,0.62786,0.70715,1.02107,0.99125,0.85714,0.87678,0.65562,0.89649,0.97052,1.30083,0.0004358,0.0004358,0.0004358
81,211.348,0.60795,0.68911,1.0375,1,0.84682,0.88879,0.69303,0.86119,0.93514,1.26932,0.000416,0.000416,0.000416
82,213.898,0.59915,0.69061,1.03404,1,0.82774,0.89269,0.69998,0.88548,0.9124,1.29404,0.0003962,0.0003962,0.0003962
83,216.438,0.66488,0.72077,1.05259,1,0.85374,0.90167,0.69932,0.90874,0.95602,1.32911,0.0003764,0.0003764,0.0003764
84,218.944,0.5818,0.66278,1.00816,1,0.85374,0.90167,0.69932,0.90874,0.95602,1.32911,0.0003566,0.0003566,0.0003566
85,221.512,0.59927,0.65549,0.97596,0.99082,0.85714,0.90658,0.70552,0.92283,0.95839,1.35781,0.0003368,0.0003368,0.0003368
86,224.095,0.61411,0.67966,1.03975,0.98999,0.85714,0.91625,0.69405,0.9288,0.9255,1.37968,0.000317,0.000317,0.000317
87,226.728,0.56027,0.63588,0.98142,0.99225,0.85714,0.91625,0.69091,0.91481,0.90911,1.38452,0.0002972,0.0002972,0.0002972
88,229.35,0.52971,0.62169,0.9739,0.99248,0.85714,0.96389,0.69553,0.8741,0.85685,1.37093,0.0002774,0.0002774,0.0002774
89,232.592,0.5455,0.59725,0.96788,0.9926,0.85714,0.9775,0.71357,0.89851,0.892,1.37675,0.0002576,0.0002576,0.0002576
90,235.254,0.54135,0.64033,1.01234,0.99252,0.85714,0.96389,0.69317,0.86538,0.8515,1.36823,0.0002378,0.0002378,0.0002378
91,242.26,0.37248,0.62192,0.81252,0.99252,0.85714,0.96389,0.69317,0.86538,0.8515,1.36823,0.000218,0.000218,0.000218
92,244.866,0.38887,0.6134,0.88134,0.99278,0.85714,0.96389,0.73595,0.87487,0.86082,1.36895,0.0001982,0.0001982,0.0001982
93,247.609,0.3758,0.62661,0.87762,0.9926,0.85714,0.953,0.71419,0.83936,0.80363,1.35989,0.0001784,0.0001784,0.0001784
94,250.364,0.40423,0.62936,0.89308,0.99261,0.85714,0.953,0.71417,0.89052,0.85999,1.3785,0.0001586,0.0001586,0.0001586
95,253.133,0.40511,0.63676,0.89686,0.99261,0.85714,0.953,0.73471,0.90831,0.86408,1.38757,0.0001388,0.0001388,0.0001388
96,255.964,0.37093,0.61667,0.84719,0.99283,0.85714,0.953,0.73618,0.91118,0.90556,1.39722,0.000119,0.000119,0.000119
97,258.763,0.33269,0.59751,0.86955,0.99283,0.85714,0.953,0.73618,0.91118,0.90556,1.39722,9.92e-05,9.92e-05,9.92e-05
98,261.536,0.37642,0.64384,0.88348,0.99301,0.85714,0.96389,0.73797,0.88093,0.87358,1.37591,7.94e-05,7.94e-05,7.94e-05
99,264.476,0.3556,0.61033,0.84204,0.99304,0.85714,0.953,0.73315,0.92029,0.90831,1.39578,5.96e-05,5.96e-05,5.96e-05
100,267.598,0.39005,0.62429,0.87009,0.99287,0.85714,0.96389,0.75157,0.92131,0.89046,1.39947,3.98e-05,3.98e-05,3.98e-05
